timestamp,open,high,low,close,volume
1717171200000,67252.60,67401.00,66850.00,66864.40,12593.641
1717172100000,66864.50,67087.00,66700.50,67033.60,7007.425
1717173000000,67033.70,67165.00,66916.60,66998.30,3374.814
1717173900000,66998.20,67265.00,66985.40,67242.00,2585.328
1717174800000,67242.10,67458.40,67193.60,67313.30,3244.512
1717175700000,67313.30,67501.00,67300.00,67452.20,1991.293
1717176600000,67452.20,67500.00,67324.00,67339.60,1631.863
1717177500000,67339.60,67434.90,67329.30,67380.70,880.048
1717178400000,67380.60,67476.10,67324.60,67425.30,1138.945
1717179300000,67425.30,67496.10,67350.00,67350.20,1294.007
1717180200000,67350.30,67473.80,67209.00,67469.50,1800.326
1717181100000,67469.40,67477.40,67378.40,67456.10,637.635
1717182000000,67456.20,67480.00,67388.20,67480.00,684.759
1717182900000,67480.00,67649.70,67405.80,67583.50,1820.184
1717183800000,67583.50,67947.80,67542.20,67888.60,5083.943
1717184700000,67888.20,68059.40,67646.90,67719.90,4933.995
1717185600000,67720.00,67834.40,67662.00,67733.10,1241.601
1717186500000,67733.20,67760.10,67633.10,67716.20,803.746
1717187400000,67716.20,67760.00,67682.40,67747.30,592.075
1717188300000,67747.30,67801.70,67658.80,67755.00,954.923
1717189200000,67755.00,67760.00,67680.00,67759.90,385.644
1717190100000,67760.00,67763.00,67561.40,67678.20,668.553
1717191000000,67678.20,67720.00,67582.80,67585.00,590.565
1717191900000,67584.90,67737.60,67557.70,67602.30,898.811
1717192800000,67602.50,67708.80,67602.50,67673.90,640.289
1717193700000,67674.00,67695.40,67642.10,67676.20,260.105
1717194600000,67676.30,67676.30,67627.60,67654.60,263.406
1717195500000,67654.60,67657.00,67529.80,67537.30,619.336
1717196400000,67537.20,67599.00,67300.00,67481.50,2549.734
1717197300000,67481.50,67522.70,67259.70,67269.70,2334.778
1717198200000,67269.80,67621.10,67269.70,67535.40,1919.761
1717199100000,67535.30,67643.00,67505.00,67577.90,1029.299
1717200000000,67577.90,67727.80,67572.00,67613.60,1119.873
1717200900000,67613.60,67613.60,67535.40,67595.80,704.922
1717201800000,67595.80,67673.30,67580.00,67644.60,472.999
1717202700000,67644.70,67729.90,67633.90,67690.00,727.657
1717203600000,67690.10,67742.10,67625.00,67650.10,693.988
1717204500000,67650.00,67668.60,67538.00,67608.60,984.464
1717205400000,67608.60,67630.00,67480.00,67540.10,1124.200
1717206300000,67540.20,67606.80,67540.10,67600.00,417.163
1717207200000,67600.00,67766.40,67584.40,67680.10,849.161
1717208100000,67680.10,67714.80,67666.00,67705.10,584.350
1717209000000,67705.10,67788.90,67700.00,67723.70,393.548
1717209900000,67723.70,67773.80,67716.20,67762.40,283.667
1717210800000,67762.50,67785.30,67688.40,67730.00,638.770
