timestamp,open,high,low,close,volume
1717171200000,67252.60,67401.00,66700.50,67242.00,25561.208
1717174800000,67242.10,67501.00,67193.60,67380.70,7747.716
1717178400000,67380.60,67496.10,67209.00,67456.10,4870.913
1717182000000,67456.20,68059.40,67388.20,67719.90,12522.881
1717185600000,67720.00,67834.40,67633.10,67755.00,3592.345
1717189200000,67755.00,67763.00,67557.70,67602.30,2543.573
1717192800000,67602.50,67708.80,67529.80,67537.30,1783.136
1717196400000,67537.20,67643.00,67259.70,67577.90,7833.572
1717200000000,67577.90,67729.90,67535.40,67690.00,3025.451
1717203600000,67690.10,67742.10,67480.00,67600.00,3219.815
1717207200000,67600.00,67788.90,67584.40,67762.40,2110.726
1717210800000,67762.50,67800.70,67660.80,67749.90,2847.863
1717214400000,67750.00,67808.30,67692.30,67719.60,1613.873
1717218000000,67719.60,67857.50,67635.00,67730.70,2165.402
1717221600000,67730.60,67775.90,67645.00,67734.80,1559.982
1717225200000,67734.90,67808.30,67608.60,67677.90,2819.501
1717228800000,67677.80,67794.20,67649.80,67753.40,2228.437
1717232400000,67753.40,67800.00,67678.40,67753.80,1513.400
1717236000000,67753.80,67797.00,67670.00,67670.00,1552.743
1717239600000,67670.10,67742.10,67670.10,67704.00,1149.633
1717243200000,67704.00,67936.00,67681.40,67757.20,3026.600
1717246800000,67757.20,67884.80,67752.00,67760.00,2381.087
1717250400000,67760.00,67920.00,67716.00,67841.10,2448.014
1717254000000,67841.20,67854.70,67692.80,67728.20,2118.296
1717257600000,67728.20,67767.50,67644.00,67740.00,2035.679
1717261200000,67739.90,67867.30,67590.00,67809.10,5031.532
1717264800000,67809.10,67850.70,67750.80,67782.50,1303.183
1717268400000,67782.50,67824.00,67713.10,67779.70,959.459
1717272000000,67779.70,67836.90,67740.00,67836.80,945.310
1717275600000,67836.90,67852.00,67736.00,67787.60,1192.645
1717279200000,67787.70,67921.30,67729.60,67798.30,1711.826
1717282800000,67798.40,67860.00,67756.20,67799.20,1982.601
1717286400000,67799.20,67951.70,67776.10,67922.80,1943.122
1717290000000,67922.70,67940.00,67728.40,67790.00,2105.346
1717293600000,67790.00,67845.30,67661.90,67764.20,1941.809
1717297200000,67764.30,67847.40,67754.50,67826.10,1235.097
1717300800000,67826.00,67889.80,67771.90,67889.80,1058.025
1717304400000,67889.80,67910.00,67746.20,67746.30,1514.880
1717308000000,67746.30,67872.30,67738.00,67865.10,978.611
1717311600000,67865.10,67873.20,67742.90,67743.00,1409.786
1717315200000,67743.00,67852.70,67696.90,67790.00,1980.705
1717318800000,67789.90,67807.00,67436.60,67573.90,5611.971
1717322400000,67574.00,67629.90,67410.00,67577.40,3403.045
1717326000000,67577.40,68367.90,67529.50,68284.10,12009.679
1717329600000,68284.00,68350.00,67883.60,67979.40,10741.424
1717333200000,67979.40,68268.00,67824.10,68200.00,5373.805
1717336800000,68200.00,68545.90,68109.30,68295.50,10956.055
1717340400000,68295.40,68342.20,68055.00,68189.80,3318.655
1717344000000,68189.80,68252.00,68025.20,68145.80,2517.339
1717347600000,68145.80,68153.40,67876.30,67921.80,5210.915
1717351200000,67921.80,67921.90,67506.20,67751.20,11193.428
1717354800000,67751.20,67839.90,67296.30,67765.30,9028.398
1717358400000,67765.40,67874.00,67606.40,67874.00,2579.966
1717362000000,67874.00,67953.30,67789.10,67848.70,2261.514
1717365600000,67848.70,68031.30,67845.50,67977.80,2113.905
1717369200000,67977.80,68038.70,67801.00,67805.90,1707.238
1717372800000,67805.90,67923.50,67642.60,67863.60,4130.538
1717376400000,67863.60,68628.60,67855.20,68521.50,11397.795
1717380000000,68521.50,68848.00,68441.10,68460.40,10554.076
1717383600000,68460.40,68576.00,68247.90,68435.90,5707.721
1717387200000,68435.90,68650.00,68333.30,68553.50,4201.360
1717390800000,68553.50,68826.00,68491.10,68746.80,5369.865
1717394400000,68746.80,69255.00,68669.80,69101.40,16902.643
1717398000000,69101.40,69236.90,68845.20,68949.90,9116.034
1717401600000,68950.00,69385.00,68950.00,69177.40,8928.742
1717405200000,69177.40,69235.90,68951.40,69050.00,4113.505
1717408800000,69050.10,69231.90,68912.40,68958.00,4691.724
1717412400000,68958.00,69300.00,68872.10,69125.50,6108.993
1717416000000,69125.50,69831.60,69125.50,69792.70,16332.944
1717419600000,69792.60,70372.90,69562.50,69830.10,21708.558
1717423200000,69830.10,70133.00,68554.70,68820.10,34594.367
1717426800000,68820.00,69650.00,68800.60,69650.00,17213.112
1717430400000,69650.00,69752.00,68932.20,69122.20,13441.302
1717434000000,69122.20,69440.00,68838.00,69309.90,6615.019
1717437600000,69309.90,69495.70,69203.10,69338.50,5277.608
1717441200000,69338.50,69343.80,69066.70,69257.20,4449.991
1717444800000,69257.20,69553.80,69150.20,69150.20,4864.395
1717448400000,69150.00,69243.90,68945.20,69129.10,4260.801
1717452000000,69129.10,69184.80,68850.00,69088.20,4140.901
1717455600000,69088.30,69102.80,68764.00,68851.40,3554.936
1717459200000,68851.30,69135.30,68659.00,69041.10,6647.528
1717462800000,69041.10,69260.80,68936.10,69259.90,4061.601
1717466400000,69259.90,69350.00,69120.80,69176.00,3029.887
1717470000000,69175.90,69408.20,69152.60,69199.10,2967.631
1717473600000,69199.10,69318.40,69082.80,69097.20,4093.312
1717477200000,69097.20,69200.10,68949.60,68995.40,3583.706
1717480800000,68995.30,69088.00,68787.20,68939.90,7667.749
1717484400000,68939.90,69122.50,68930.00,69054.70,3292.767
1717488000000,69054.60,69246.70,68855.20,68873.70,5688.325
1717491600000,68873.70,68931.20,68595.50,68752.50,9321.701
1717495200000,68752.50,69000.00,68735.30,68930.10,4690.842
1717498800000,68930.10,69080.00,68868.40,68992.80,3874.278
1717502400000,68992.80,69209.00,68882.40,68989.50,5892.035
1717506000000,68989.50,69876.00,68989.00,69566.60,19796.468
1717509600000,69566.70,70200.00,69352.30,69691.90,29971.188
1717513200000,69691.90,70560.30,69496.20,70492.00,22895.860
1717516800000,70492.10,71066.80,70445.00,70858.00,26654.356
1717520400000,70858.10,70893.00,70405.40,70606.30,11457.305
1717524000000,70606.30,71146.40,70606.20,70740.70,11514.943
1717527600000,70740.70,70783.20,70117.80,70459.00,12729.621
1717531200000,70459.10,70600.00,70207.20,70444.50,5019.302
1717534800000,70444.50,70665.30,70380.50,70650.00,2905.688
1717538400000,70650.00,70776.30,70535.80,70608.90,4749.774
1717542000000,70608.90,70663.80,70442.10,70580.00,3594.149
1717545600000,70580.00,70954.10,70462.80,70820.10,7593.081
1717549200000,70820.20,71389.80,70685.90,71020.70,11466.934
1717552800000,71020.70,71216.00,70700.00,70892.10,7824.993
1717556400000,70892.20,71057.00,70819.10,70994.00,5420.481
1717560000000,70994.00,71327.90,70875.90,71220.20,7955.595
1717563600000,71220.20,71245.00,70922.00,71038.40,5061.003
1717567200000,71038.40,71199.30,70872.40,71163.40,7091.922
1717570800000,71163.40,71430.00,71071.30,71244.10,9042.589
1717574400000,71244.00,71282.20,70923.00,70972.00,5466.131
1717578000000,70971.90,71078.80,70860.00,70947.90,5000.430
1717581600000,70948.00,70965.00,70766.40,70840.70,4968.193
1717585200000,70840.80,71156.00,70737.40,71008.40,6001.621
1717588800000,71008.40,71178.90,70686.10,70992.40,11073.644
1717592400000,70992.30,71224.70,70632.00,70773.10,11901.035
1717596000000,70773.10,71111.00,70423.60,70907.40,17736.200
1717599600000,70907.40,71792.00,70802.60,71625.10,24186.164
1717603200000,71625.20,71824.40,71302.60,71355.80,12183.773
1717606800000,71355.90,71754.60,71280.00,71660.00,7299.615
1717610400000,71660.00,71792.70,70940.00,71134.50,13306.297
1717614000000,71134.50,71434.00,70909.20,71314.80,7857.808
1717617600000,71314.80,71390.50,71186.40,71228.60,3621.680
1717621200000,71228.60,71249.50,71071.50,71177.20,2621.688
1717624800000,71177.20,71316.00,71123.40,71180.00,2020.068
1717628400000,71180.00,71341.00,70711.30,71133.30,7291.089
1717632000000,71133.30,71220.80,70982.60,71051.10,3343.699
1717635600000,71051.00,71227.50,70922.50,71167.70,3345.406
1717639200000,71167.60,71280.00,71133.50,71196.00,2517.909
1717642800000,71196.00,71233.50,71050.60,71087.80,1994.685
1717646400000,71087.70,71144.00,70950.20,71093.70,3194.435
1717650000000,71093.60,71129.20,70850.00,70945.70,4441.033
1717653600000,70945.80,71099.30,70850.00,70934.40,5334.461
1717657200000,70934.40,71128.40,70895.20,71077.30,3781.912
1717660800000,71077.20,71095.10,70912.90,70949.70,2874.754
1717664400000,70949.70,71207.20,70949.70,71026.30,3764.023
1717668000000,71026.40,71060.00,70940.00,71047.30,2700.587
1717671600000,71047.40,71259.80,70978.30,71219.20,4597.764
1717675200000,71219.30,71500.00,71088.70,71230.00,12076.424
1717678800000,71230.10,71600.00,71025.10,71163.50,14208.645
1717682400000,71163.50,71604.50,71055.00,71514.40,14259.947
1717686000000,71514.40,71714.80,71279.90,71334.30,10857.269
1717689600000,71334.30,71421.60,70855.00,70977.60,15074.380
1717693200000,70977.50,71263.00,70825.00,71137.80,8600.180
1717696800000,71137.90,71200.00,70900.00,71119.60,3546.007
1717700400000,71119.60,71128.40,70489.20,70526.10,12127.663
1717704000000,70526.00,70790.00,70101.90,70767.90,15957.046
1717707600000,70768.00,70900.00,70701.30,70784.60,3470.663
1717711200000,70784.60,70938.10,70700.00,70938.00,3237.520
1717714800000,70938.10,70988.00,70783.10,70830.00,3177.152
1717718400000,70830.00,70930.00,70773.00,70925.60,2670.506
1717722000000,70925.60,70948.20,70706.50,70870.00,4042.975
1717725600000,70869.90,70913.80,70700.00,70869.50,3426.786
1717729200000,70869.40,71063.80,70776.00,71032.90,3855.677
1717732800000,71032.80,71298.50,71029.00,71251.30,7845.863
1717736400000,71251.40,71476.00,71196.10,71324.00,8101.255
1717740000000,71324.00,71385.60,71188.50,71298.50,3503.010
1717743600000,71298.50,71356.00,71106.00,71147.90,5518.141
1717747200000,71147.90,71241.90,71085.00,71161.40,4032.669
1717750800000,71161.50,71351.00,71100.00,71332.50,3568.525
1717754400000,71332.40,71475.00,71233.00,71404.90,4578.306
1717758000000,71404.90,71773.30,71331.10,71750.00,9942.125
1717761600000,71749.90,72144.00,70668.00,71274.00,64432.515
1717765200000,71274.00,71699.00,71105.80,71576.80,15720.904
1717768800000,71576.70,71595.60,71205.90,71466.00,9022.547
1717772400000,71466.10,71466.10,70903.10,71150.00,11646.764
1717776000000,71150.10,71254.70,70812.10,70921.30,8231.623
1717779600000,70921.30,70921.30,69820.00,69834.00,26283.947
1717783200000,69834.00,69924.80,68405.00,69186.50,66782.450
1717786800000,69186.60,69485.20,68829.00,69287.20,17221.849
1717790400000,69287.20,69357.00,69000.40,69338.10,8277.314
1717794000000,69338.10,69416.10,69230.00,69279.80,3565.485
1717797600000,69279.70,69663.40,69213.10,69537.90,4528.354
1717801200000,69537.90,69538.00,69347.10,69377.00,2612.780
1717804800000,69377.00,69517.30,69314.20,69430.90,3162.931
1717808400000,69430.80,69506.20,69322.20,69497.90,3094.413
1717812000000,69498.00,69498.00,69416.10,69456.20,1619.225
1717815600000,69456.30,69550.00,69450.10,69454.60,3222.559
1717819200000,69454.60,69495.90,69300.00,69343.40,2984.627
1717822800000,69343.40,69374.10,69257.90,69342.80,2881.119
1717826400000,69342.90,69445.10,69315.70,69362.60,1976.130
1717830000000,69362.50,69612.50,69362.50,69612.50,4156.055
1717833600000,69612.50,69613.60,69414.50,69473.50,2658.207
1717837200000,69473.50,69537.00,69410.60,69488.00,1829.896
1717840800000,69488.00,69536.90,69390.50,69498.70,2113.878
1717844400000,69498.70,69557.00,69351.80,69404.50,3416.756
1717848000000,69404.50,69478.00,69292.10,69390.60,4255.160
1717851600000,69390.60,69477.00,69192.30,69466.90,6073.981
1717855200000,69467.00,69506.40,69340.00,69499.90,3970.315
1717858800000,69499.90,69540.00,69452.90,69462.10,2785.077
1717862400000,69462.00,69512.50,69334.50,69428.70,3597.652
1717866000000,69428.60,69514.00,69372.10,69485.50,2090.239
1717869600000,69485.50,69523.60,69460.20,69482.00,1518.373
1717873200000,69482.00,69533.00,69446.90,69486.60,1290.815
1717876800000,69486.60,69514.00,69351.00,69400.10,1813.744
1717880400000,69400.00,69468.10,69345.70,69432.10,1582.637
1717884000000,69432.00,69449.40,69325.00,69370.00,1825.353
1717887600000,69370.00,69380.70,69326.80,69346.50,1820.715
1717891200000,69346.60,69377.90,69280.00,69314.50,2286.269
1717894800000,69314.50,69386.50,69267.70,69315.00,1552.936
1717898400000,69315.10,69342.20,69200.00,69208.80,3036.300
1717902000000,69208.90,69334.50,69160.00,69300.90,2443.744
1717905600000,69300.90,69350.00,69273.10,69339.90,1296.955
1717909200000,69340.00,69412.50,69263.00,69325.10,1703.879
1717912800000,69325.00,69434.90,69319.00,69418.60,1521.233
1717916400000,69418.70,69461.90,69310.20,69331.90,1810.388
1717920000000,69331.90,69393.50,69314.80,69385.00,1124.807
1717923600000,69385.00,69443.50,69367.70,69402.10,1438.018
1717927200000,69402.10,69415.50,69360.20,69381.80,1242.782
1717930800000,69381.90,69432.00,69352.90,69400.60,1254.748
1717934400000,69400.60,69797.00,69385.00,69734.70,7609.525
1717938000000,69734.80,69821.10,69287.50,69482.20,11522.050
1717941600000,69482.20,69570.90,69284.80,69513.00,5183.122
1717945200000,69513.00,69608.30,69452.60,69530.10,3537.490
1717948800000,69530.10,69661.90,69517.00,69642.20,2350.475
1717952400000,69642.20,69739.20,69587.00,69684.80,2414.121
1717956000000,69684.70,69879.00,69625.60,69767.00,4499.713
1717959600000,69767.00,69879.00,69677.00,69742.60,3368.288
1717963200000,69742.50,69765.10,69606.40,69706.80,1888.263
1717966800000,69706.70,69862.00,69624.10,69774.10,1994.790
1717970400000,69774.20,69816.40,69641.90,69666.00,1584.497
1717974000000,69665.90,69718.40,69610.10,69667.10,1359.707
1717977600000,69667.10,69684.90,69450.10,69600.10,3499.447
1717981200000,69600.00,69710.50,69544.10,69645.10,2425.376
1717984800000,69645.00,69833.00,69622.90,69745.70,3250.536
1717988400000,69745.60,69797.40,69587.60,69637.30,2107.567
1717992000000,69637.40,69712.10,69550.00,69702.70,2598.437
1717995600000,69702.70,69702.70,69544.70,69595.10,2042.450
1717999200000,69595.20,69639.00,69300.00,69459.10,6181.768
1718002800000,69459.10,69532.20,69265.00,69325.30,5792.262
1718006400000,69325.30,69530.00,69310.70,69422.50,4648.885
1718010000000,69422.60,69508.60,69201.20,69471.60,7051.584
1718013600000,69471.60,69505.80,69382.10,69472.20,2556.584
1718017200000,69472.20,69592.60,69366.60,69506.70,2962.473
1718020800000,69506.60,69555.10,69351.40,69401.90,3485.558
1718024400000,69401.90,69548.70,69255.10,69444.00,8326.388
1718028000000,69443.90,69700.00,69323.00,69699.90,7363.126
1718031600000,69700.00,70222.70,69633.10,70090.90,19726.925
1718035200000,70090.90,70134.00,69731.00,69998.90,9926.667
1718038800000,69998.90,70101.80,69781.30,70071.10,4006.045
1718042400000,70071.00,70166.10,69754.80,69883.60,6071.284
1718046000000,69883.70,69883.70,69420.00,69524.20,8828.942
1718049600000,69524.30,69734.50,69360.40,69650.70,7158.827
1718053200000,69650.60,69729.20,69557.50,69616.20,1819.477
1718056800000,69616.30,69635.10,69451.40,69536.20,2484.547
1718060400000,69536.30,69598.60,69418.10,69558.70,3066.449
1718064000000,69558.80,69600.00,69450.00,69454.60,3301.981
1718067600000,69454.60,69566.50,68479.40,68741.40,17137.138
1718071200000,68741.40,68996.90,67881.90,68285.80,33301.328
1718074800000,68285.90,68515.40,68189.00,68472.30,9231.694
1718078400000,68472.20,68472.20,67606.20,68040.00,21653.075
1718082000000,68040.10,68080.30,67670.10,67930.40,9094.521
1718085600000,67930.30,68007.40,67300.00,67720.00,14258.780
1718089200000,67719.90,67872.00,67531.80,67582.00,9391.050
1718092800000,67582.10,67666.00,67300.00,67537.40,10390.449
1718096400000,67537.30,67690.80,66888.00,67104.90,22201.948
1718100000000,67104.90,67308.30,66689.50,66981.70,17079.610
1718103600000,66981.80,67148.90,66778.50,66919.60,10578.271
1718107200000,66919.60,67199.00,66793.00,67043.30,10331.141
1718110800000,67043.20,67288.00,66523.30,66832.90,18859.257
1718114400000,66833.00,67117.00,66795.50,66859.30,9102.526
1718118000000,66859.20,67089.90,66000.00,66266.00,31473.547
1718121600000,66266.00,66759.60,66177.90,66506.70,14185.944
1718125200000,66506.70,66823.90,66184.00,66785.20,10026.298
1718128800000,66785.20,67240.00,66670.00,67130.30,12048.410
1718132400000,67130.20,67591.30,67066.00,67420.60,10983.654
1718136000000,67420.50,67514.50,67180.40,67300.00,5385.527
1718139600000,67299.90,67411.60,67206.30,67411.60,1994.879
1718143200000,67411.60,67585.60,67313.00,67368.10,3396.859
1718146800000,67368.10,67605.00,67302.80,67320.70,6577.055
1718150400000,67320.60,67448.00,67200.00,67218.60,4135.957
1718154000000,67218.60,67261.70,66920.00,67187.80,6810.440
1718157600000,67187.80,67624.20,67138.80,67412.00,7920.991
1718161200000,67412.10,67505.60,67325.40,67413.00,2597.893
1718164800000,67413.00,67621.00,67386.10,67490.00,5988.165
1718168400000,67490.00,67511.80,67200.00,67257.60,4341.476
1718172000000,67257.70,67396.00,67257.60,67278.60,2734.491
1718175600000,67278.60,67492.90,67242.20,67449.40,2800.686
1718179200000,67449.50,67544.00,67372.40,67399.50,2791.390
1718182800000,67399.50,67829.50,67346.60,67760.10,7923.846
1718186400000,67760.20,68065.30,67760.20,67997.90,11908.211
1718190000000,67997.90,68018.20,67718.10,67789.90,4929.937
1718193600000,67790.00,69488.00,67740.90,69340.10,52967.485
1718197200000,69340.10,69668.60,69079.00,69324.90,24637.446
1718200800000,69325.00,69987.90,69290.40,69960.00,19651.893
1718204400000,69959.90,70028.00,69538.20,69738.00,12303.538
